token,frequency,matched_via,risk,category
"vegetable mono diglycerides",219,"diglycerides",Low,emulsifiers
"gluten free oats",218,"oats",Low,grains
"semi sweet chocolate",210,"chocolate",Medium,cacao
"semi sweet chocolate sugar",193,"chocolate sugar",Medium,cacao
"pasteurized part skim cow s milk",191,"milk",Low,dairy
"d alpha tocopheryl acetate",144,"d alpha tocopheryl",Low,vitamins
"live active cultures",126,"cultures",Low,probiotics
"fd c yellow lake",125,"fd c yellow",Medium,dyes
"yellow corn",124,"corn",Low,vegetables
"artificial color yellow lake",123,"color yellow",Medium,dyes
"carrot fiber",123,"fiber",Low,grains
"chicken and beef",123,"chicken",Low,proteins
"cane molasses",122,"molasses",Medium,sweeteners
"enzyme modified cheese",122,"modified cheese",Low,dairy
"soybean and or canola",122,"soybean",Low,oils
"baking powder sodium bicarbonate",121,"powder sodium bicarbonate",Low,additives
"chia seed",120,"seed",Low,seeds
"whole grain rolled wheat",120,"wheat",Low,grains
"high oleic safflower oil",119,"safflower oil",Low,oils
"glycerol monostearate",118,"glycerol",Low,additives
"beef and pork",117,"beef",Medium,proteins
"cracked wheat",117,"wheat",Low,grains
"crushed garlic",117,"garlic",Low,spices
"disodium dihydrogen pyrophosphate",116,"dihydrogen pyrophosphate",Low,additives
"contains less than of modified food starch",114,"modified food starch",Low,additives
"riboflavin folic acid",114,"folic acid",Low,vitamins
"minced onion",113,"onion",Low,vegetables
"naturally derived citric acid",113,"citric acid",Low,preservatives
"chocolate flavored coating",112,"chocolate coating",Medium,cacao
"liquid whole eggs",112,"eggs",Low,proteins
"reduced minerals whey",112,"minerals whey",Medium,dairy
"spices including paprika",111,"paprika",Low,dyes
"cheddar club cheese",110,"club cheese",Low,dairy
"concentrated grape must",110,"grape must",Low,fruits
"corn bran",109,"bran",Low,grains
"potassium sorbate to protect flavor",109,"potassium sorbate",Low,preservatives
"soluble tapioca fiber",109,"fiber",Low,grains
"vegetable gums",109,"gums",Low,emulsifiers
"whey from milk",108,"whey milk",Medium,dairy
"beef tallow",107,"tallow",Medium,fats
"contains or less of yeast",107,"or yeast",Low,flavor-enhancers
"diced peaches",107,"peaches",Low,fruits
"mono calcium phosphate",107,"calcium phosphate",Low,vitamins
"pink himalayan salt",107,"himalayan salt",Low,preservatives
"baking powder corn starch",106,"powder corn starch",Low,sweeteners
"cacao butter",106,"butter",Medium,dairy
"light brown sugar",106,"brown sugar",Medium,sweeteners
"soybean and palm oil",106,"soybean",Low,oils
"cultured pasteurized grade a milk",104,"cultured milk",Low,dairy
"leavening blend sodium acid pyrophosphate",104,"blend sodium acid pyrophosphate",Low,additives
"lemon puree",104,"lemon",Low,spices
"stevia sweetener",104,"sweetener",Low,sweeteners
"organic evaporated cane syrup",103,"evaporated cane syrup",Medium,sweeteners
"preservatives potassium sorbate",102,"potassium sorbate",Low,preservatives
"chocolate flavored coating sugar",101,"chocolate coating sugar",Medium,cacao
"orange juice from concentrate",101,"orange juice concentrate",High,dyes
"tapioca fiber",101,"fiber",Low,grains
"including paprika",100,"paprika",Low,dyes
"contains or less of soybean oil",99,"or soybean oil",Low,oils
"expeller pressed high oleic safflower and or sunflower oil",99,"and or sunflower oil",Low,oils
"flax meal",99,"flax",Low,beverages
"fruit and vegetable juice concentrate for color",99,"fruit",Medium,sweeteners
"pear juice from concentrate",99,"pear juice concentrate",Medium,fruits
"prebiotic fiber",99,"fiber",Low,grains
"spice and coloring",99,"spice",Low,spices
"contains or less of dextrose",98,"or dextrose",Low,sweeteners
"cultured pasteurized grade a low fat milk",97,"cultured fat milk",Low,dairy
"glyceryl lacto esters of fatty acids",97,"fatty acids",Medium,fats
"invert cane syrup",97,"cane syrup",Medium,sweeteners
"milled cane sugar",97,"cane sugar",Low,sweeteners
"organic whole grain oats",97,"oats",Low,grains
"pasteurized whole eggs",97,"eggs",Low,proteins
"roasted soybeans",97,"soybeans",Low,legumes
"cooked enriched pasta",96,"cooked pasta",Medium,grains
"glycerol ester of wood rosin",96,"wood rosin",Low,additives
"concentrated lime juice",95,"lime juice",Low,spices
"fat reduced cocoa powder",95,"fat cocoa powder",Low,cacao
"fresh basil",95,"basil",Low,spices
"palm and soybean oils",95,"palm",Low,oils
"diced pears",94,"pears",Low,fruits
"extractives of paprika and turmeric",94,"extractives of paprika",Low,spices
"food starch modified corn",94,"starch modified corn",Low,sweeteners
