Barcode,Product Name,Brand
099482522605,"TOMATO ORGANIC KETCHUP, TOMATO","Whole Foods Market, Inc."
855482006763,"ORGANIC BLUE CHEESE DRESSING","Tessemae's LLC"
071146000148,"CALBEE, SHRIMP CHIPS, BAKED, WHEAT PUFFED SNACKS, ORIGINAL","Calbee North America, LLC"
041570054017,"CHEDDAR CHEESE RICE CRACKER SNACKS WITH ALMONDS, CHEDDAR CHEESE","Blue Diamond Growers"
070085035389,"CHEESE & PEPPERONI MINI BAGELS PIZZA SNACKS, CHEESE & PEPPERONI","Kraft Heinz Foods Company"
072830001748,"MEDIUM CHEDDAR CHEESE SNACK PORTIONS, MEDIUM CHEDDAR CHEESE","Tillamook County Creamery Association"
044000058395,"THREE CHEESE FLAVOR RICE & CHEESE SNACKS, THREE CHEESE","Nabisco Biscuit Company"
070085035358,"THREE CHEESE MINI BAGELS PIZZA SNACKS, THREE CHEESE","Kraft Heinz Foods Company"
014100054702,"XTRA CHEDDAR BLASTED BAKED SNACK CRACKERS, XTRA CHEDDAR","Pepperidge Farm, Inc."
755795755504,"ORGANIC BBQ SAUCE, CALIFORNIA GOLD","P. K. Kinder Co., Inc."
850002887457,"FROSTED GRAIN-FREE CEREAL, FROSTED","Magic Spoon Inc."
722252283245,"LEMONZEST + BLUEBERRY WHOLE NUTRITION BARS","Clif Bar and Company"
722252238344,"LEMONZEST + RASPBERRY WHOLE NUTRITION BAR, LEMONZEST + RASPBERRY","Clif Bar and Company"
722252203304,"LEMONZEST WHOLE NUTRITION BAR, LEMONZEST","Clif Bar and Company"
722252369741,"NUT BUTTER FILLED BAR, BLUEBERRY ALMOND BUTTER","Clif Bar and Company"
602652200090,"ORANGE CRANBERRY BREAKFAST PROBIOTICS BARS, ORANGE CRANBERRY","KIND Inc."
602652419287,"PEANUT BUTTER BREAKFAST BARS, PEANUT BUTTER","KIND Inc."
602652429941,"PEANUT BUTTER BREAKFAST CEREAL BARS, PEANUT BUTTER","KIND Inc."
490712009086,"STRAWBERRY SOFT BAKED BREAKFAST BARS, STRAWBERRY","MARKET PANTRY"
722252168597,"VANILLA ALMOND PROTEIN BAR, VANILLA ALMOND","Clif Bar and Company"
810035110465,"WARM 'N' CINNAMON-Y BANANA BREAD PUMPKIN SEED PROTEIN BARS, WARM 'N' CINNAMON-Y BANANA BREAD","88 acres foods, inc"
031200259240,"100% PINEAPPLE JUICE","Ocean Spray Cranberries, Inc."
014800005400,"FLAVORED JUICE BLEND, APPLE CRANBERRY","Mott's LLP"
637480025256,"COCONUT ALMOND DELIGHT SNACK BARS, COCONUT ALMOND DELIGHT","Atkins Nutritionals, Inc."
052000104301,"COOKIES AND CREME FLAVORED PROTEIN BAR, COOKIES AND CREME","The Quaker Oats Co./gatorade-Van Camp"
082592001023,"GREEN MACHINE FRUIT, NUT & VEGGIE BAR, GREEN MACHINE","Naked Juice"
750049000409,"MOCHA CHIP NUTRITION BAR, MOCHA CHIP","The Nature's Bounty Co."
072745001291,"CHICKEN BREAST STRIPS BREADED STRIP SHAPED CHICKEN BREAST PATTIES WITH RIB MEAT, CHICKEN BREAST STRIPS","Perdue Farms Incorporated"
025317225908,"GLUTEN-FREE BREADED CHICKEN BREAST TENDERS","Hormel Foods Corporation"
023700043825,"ITALIAN STYLE LIGHTLY BREADED CHICKEN BREAST STRIPS, ITALIAN STYLE","Tyson Foods, Inc."
025000120664,"JUICE STICKS, ORANGE, CHERRY, GRAPE","The Minute Maid Company"
041500001326,"KICKIN' BBQ FULLY COOKED CHICKEN REDHOT WINGS SECTIONS GLAZED WITH BARBECUE SAUCE, KICKIN' BBQ","McCormick & Company, Inc."
044100158940,"VANILLA NONFAT GREEK YOGURT, VANILLA","HP Hood LLC"
894700010052,"BLUEBERRY ON THE BOTTOM NONFAT GREEK YOGURT, BLUEBERRY","Chobani, Inc."
850446008975,"SEA SALT & CRACKED PEPPER CRUNCHY CHICKPEAS, SEA SALT & CRACKED PEPPER","American Halal Company, Inc."
030000311271,"S'MORES CHEWY GRANOLA BARS, S'MORES","The Quaker Oats Company"
851702007534,"MUSHROOM BISQUE KETO BONE BROTH SOUP, MUSHROOM BISQUE","KETTLE AND FIRE LLC"
990016700011,"NOT MAYO ORIGINAL PLANT-BASED DRESSING & SPREAD, NOT MAYO ORIGINAL","THE KRAFT HEINZ NOTCO"
888849005437,"PROTEIN BAR, BLUEBERRY COBBLER","Quest Nutrition, LLC"
896859000144,"THAI PEANUT SAUCE","Sky Valley Foods Inc."
041335363798,"CAESAR DRESSING, CAESAR","Ken's Foods, Inc."
602652184048,"CHEWY WITH A CRUNCH, VANILLA BLUEBERRY","KIND Inc."
070470478524,"STRAWBERRY FLAVORED GREEK 100 PROTEIN FAT FREE YOGURT, STRAWBERRY","Yoplait USA"
021000032037,"SWEET BALSAMIC VINAIGRETTE DRESSING, SWEET BALSAMIC VINAIGRETTE","Kraft Heinz Foods Company"
815074022496,"CAESAR DRESSING & MARINADE, CAESAR","Chosen Foods, LLC"
788434103770,"FRUITY CEREAL FLAVORED PROTEIN BAR, FRUITY CEREAL","The Hershey Company"
020662003706,"OIL & VINEGAR DRESSING, OIL & VINEGAR","Newman's Own, Inc."
078895131154,"SAUCE FOR ORANGE CHICKEN, ORANGE CHICKEN","Lee Kum Kee Co. Ltd."
021000064496,"CREAMY GREEK DRESSING, CREAMY GREEK","Kraft Heinz Foods Company"
048564000326,"FLOUR NUTRI-RICAS CARB WATCH TORTILLAS SALSA ROJA WITH FLAXSEED, FLOUR","Guerrero Tortilleria"
041129840535,"PRINCE, ENRICHED TOMATO AND SPINACH MACARONI PRODUCT, TRICOLOR ROTINI","Riviana Foods Inc."
851702007282,"MISO SOUP WITH BONE BROTH","KETTLE AND FIRE LLC"
041789003561,"SPICY BEEF FIRE BOWL RAMEN NOODLE SOUP, SPICY BEEF","Maruchan, Inc."
070662401033,"SPICY CHICKEN VERY VEGGIE RAMEN NOODLE SOUP, SPICY CHICKEN","Nissin Foods USA Co Inc"
070662401040,"VERYVEGGIE, SOY SAUCE FLAVOR RAMEN NOODLE SOUP, SOY SAUCE","Nissin Foods USA Co Inc"
052603042550,"ORGANIC CREAMY CASHEW CARROT GINGER SOUP, CREAMY CASHEW CARROT GINGER","Pacific Foods of Oregon, Inc."
070662403013,"SOUP'D UP, ROASTED CHICKEN FLAVOR RAMEN NOODLE SOUP, ROASTED CHICKEN","Nissin Foods USA Co Inc"
050000415014,"WHITE SAUCE & CREAM-STYLE SOUP MIX, WHITE SAUCE & CREAM-STYLE","Nestle USA Inc."
070662096345,"BLAZING HOT FLAVOR HOT & SPICY RAMEN NOODLE SOUP, BLAZING HOT","Nissin Foods USA Co Inc"
070662198018,"ORIGINAL SOY SAUCE FLAVOR RAMEN NOODLE SOUP, ORIGINAL SOY SAUCE","Nissin Foods USA Co Inc"
028000736095,"HOME-STYLE VEGETABLE PASTA & CHICKEN FLAVOR SOUP MIX, HOME-STYLE VEGETABLE PASTA & CHICKEN","Nestle USA Inc."
070662096338,"XTRA HOT FIERY BEEF FLAVOR HOT & SPICY RAMEN NOODLE SOUP, XTRA HOT FIERY BEEF","Nissin Foods USA Co Inc"
024000554547,"100% NATURAL GARDEN VEGETABLE BROTH","Del Monte Foods Inc."
024000497837,"99% FAT FREE BEEF BROTH, BEEF","Del Monte Foods Inc."
722252438218,"COOKIES 'N CREME WHOLE GRAIN CRISPY SNACK BARS, COOKIES 'N CREME","Clif Bar and Company"
013800156501,"STEAK PORTABELLA BEEF & MUSHROOMS IN A SAVORY SAUCE WITH BROCCOLI, STEAK PORTABELLA","Nestle Usa-Frozen Food Division"
052000048230,"BLACK CHERRY ELECTROLYTE WATER BEVERAGE MIX, BLACK CHERRY","The Quaker Oats Co./gatorade-Van Camp"
043000955475,"BLUE RASPBERRY LEMONADE UNSWEETENED DRINK MIX, BLUE RASPBERRY LEMONADE","Kraft Heinz Foods Company"
043000953532,"CHERRY DRINK MIX, CHERRY","Kraft Heinz Foods Company"
043000022597,"CHERRY POMEGRANATE DRINK MIX, CHERRY POMEGRANATE","Kraft Heinz Foods Company"
043000045350,"CITRUS DRINK MIX WITH CAFFEINE, CITRUS","Kraft Heinz Foods Company"
300878446246,"DRINK MIX","Bristol-Myers Squibb/Mead Johnson Nutritionals"
043000069387,"GRAPE ZERO SUGAR ZERO CALORIE ON THE GO! DRINK MIX, GRAPE","Kraft Heinz Foods Company"
041000006661,"HIBISCUS LIME AGUAS FRESCAS ICED HERBAL TEA MIX, HIBISCUS LIME","Lipton"
043000950647,"LEMON ICED TEA DRINK MIX, LEMON ICED TEA","Kraft Heinz Foods Company"
041000008603,"LEMON ZERO SUGAR LOW CALORIE ICED TEA MIX, LEMON","Lipton"
043000084885,"LEMONADE DRINK MIX, LEMONADE","Kraft Heinz Foods Company"
043000064528,"ORANGE STRAWBERRY DRINK MIX, ORANGE STRAWBERRY","Kraft Heinz Foods Company"
050000600120,"ORIGINAL MALTED MILK, ORIGINAL","Nestle USA Inc."
043000950807,"PEACH ICED TEA DRINK MIX, PEACH ICED TEA","Kraft Heinz Foods Company"
043000028858,"PEACH MANGO GREEN TEA DRINK MIX, PEACH MANGO GREEN TEA","Kraft Heinz Foods Company"
043000950517,"PINK LEMONADE DRINK MIX, PINK LEMONADE","Kraft Heinz Foods Company"
043000073667,"PINK LEMONADE FLAVORED ZERO SUGAR LOW CALORIE ON THE GO DRINK MIX, PINK LEMONADE","Kraft Heinz Foods Company"
043000059531,"SWEET TEA DRINK MIX, SWEET TEA","Kraft Heinz Foods Company"
043000080122,"WILD STRAWBERRY DRINK MIX WITH CAFFEINE, WILD STRAWBERRY","Kraft Heinz Foods Company"
759283001333,"RICE CRACKERS","Kraft Heinz Foods Company"
759283100029,"CLASSIC ROUND CRACKERS","Kraft Heinz Foods Company"
759283100043,"CRISPY WHEAT CRACKERS","Kraft Heinz Foods Company"
759283100456,"STONEGROUND WHEAT CRACKERS","Kraft Heinz Foods Company"
759283001463,"SWEET POTATO CRACKERS","Kraft Heinz Foods Company"
044700024584,"LUNCHABLES, HAM & CHEDDAR WITH CRACKERS","Kraft Heinz Foods Company"
021000067312,"CHEESE DIP AND CRACKERS, JALAPENO JACK","Kraft Heinz Foods Company"
759283001340,"RICE THIN CRACKERS, SESAME SEED","Kraft Heinz Foods Company"
021000057122,"CRACKER BARREL, ORGANIC MILD CHEDDAR CHEESE","Kraft Heinz Foods Company"
759283001470,"SPINACH & ROASTED GARLIC CRACKERS MADE WITH REAL VEGETABLES","Kraft Heinz Foods Company"
088194340034,"BLUEBERRY WHOLE MILK YOGURT, BLUEBERRY","Stonyfield Farm Inc"
043182002059,"SWEETENED CONDENSED COCONUT MILK, SWEETENED","Edward & Sons Trading Co., Inc"
814558020317,"BLUEBERRY ORGANIC DAIRY-FREE PROBIOTIC CASHEWMILK YOGURT PLANT-BASED YOGURT ALTERNATIVE, BLUEBERRY","Forager Project, LLC"
813636020225,"UNSWEETENED COCONUT CREAM & ALMOND MILK, UNSWEETENED","Califia Farms, LP"
017077109321,"BLUEBERRY KEFIR CULTURED LOWFAT MILK, BLUEBERRY","Lifeway Foods Inc."
017077105323,"CHERRY KEFIR CULTURED LOWFAT MILK, CHERRY","Lifeway Foods Inc."
041331036818,"DULCE DE LECHE, MILK CARAMEL SPREAD","Goya Foods, Inc."
017077108324,"PEACH KEFIR CULTURED LOWFAT MILK, PEACH","Lifeway Foods Inc."
017077121323,"POMEGRANATE KEFIR CULTURED LOWFAT MILK, POMEGRANATE","Lifeway Foods Inc."
017077104326,"RASPBERRY KEFIR CULTURED LOWFAT MILK, RASPBERRY","Lifeway Foods Inc."
070470491059,"STRAWBERRY FLAVORED WHOLE MILK YOGURT, STRAWBERRY","Yoplait USA"
017077103329,"STRAWBERRY KEFIR CULTURED LOWFAT MILK, STRAWBERRY","Lifeway Foods Inc."
017077111324,"VANILLA KEFIR CULTURED LOWFAT MILK, VANILLA","Lifeway Foods Inc."
050000384976,"PUMPKIN SPICE OAT MILK CREAMER, PUMPKIN SPICE","Nestle USA Inc."
088194340065,"COFFEE CREAM TOP WHOLE MILK YOGURT, COFFEE","Stonyfield Farm Inc"
088194703143,"MAPLE CREAM TOP WHOLE MILK YOGURT, MAPLE","Stonyfield Farm Inc"
028000823177,"DRY WHOLE MILK","Nestle USA Inc."
030000576618,"ORIGINAL CRUNCH TREATS WITH RICE CRISPS, ORIGINAL CRUNCH","The Quaker Oats Company"
044000034207,"BANANA BREAD SOFT BAKED BREAKFAST BISCUITS, BANANA BREAD","Nabisco Biscuit Company"
021000083176,"ORIGINAL CREAM CHEESE SPREAD, ORIGINAL","Kraft Heinz Foods Company"
722252312556,"CRUNCHY PEANUT BUTTER MINIS SNACK-SIZE ENERGY BARS, CRUNCHY PEANUT BUTTER","Clif Bar and Company"
722252385994,"CRUNCHY PEANUT BUTTER SNACK-SIZE MINIS ENERGY BARS, CRUNCHY PEANUT BUTTER","Clif Bar and Company"
815421011272,"ORGANIC GLUTEN FREE BROWN RICE PASTA, ELBOWS","Jovial Foods, Inc."
851702007688,"TURMERIC GINGER ORGANIC BONE BROTH, TURMERIC GINGER","KETTLE AND FIRE LLC"
722252194299,"ICED OATMEAL COOKIE BAKED WHOLE GRAIN ENERGY SNACK BARS, ICED OATMEAL COOKIE","Clif Bar and Company"
052159701215,"RASPBERRY PEAR ORGANIC WHOLE MILK YOGURT, RASPBERRY PEAR","Stonyfield Farm Inc"
855140002236,"PUMPKIN CINNAMON ANCIENT GRAIN GRANOLA MINIS, PUMPKIN CINNAMON","Purely Elizabeth"
855140002229,"PUMPKIN CINNAMON ANCIENT GRAIN GRANOLA, PUMPKIN CINNAMON","Purely Elizabeth"
810589030158,"PUMPKIN SPICE GRAIN-FREE SUPERFOOD GRANOLA, PUMPKIN SPICE","Purely Elizabeth"
030000316498,"SUMMER BERRY GRANOLA CLUSTERS WITH BLUEBERRIES, RASPBERRIES, AND STRAWBERRIES, SUMMER BERRY","The Quaker Oats Company"
602652170058,"ALMOND & APRICOT FRUIT & NUT BAR, ALMOND & APRICOT","KIND Inc."
602652249655,"ALMOND & COCONUT BARS, ALMOND & COCONUT","KIND Inc."
859908003923,"ALMOND COOKIE BAR, ALMOND","Dang Foods LLC"
602652275791,"APPLE CINNAMON SPICE BAR, APPLE CINNAMON SPICE","KIND Inc."
842379190476,"BLUEBERRY FRUIT & GRAIN CEREAL BARS, BLUEBERRY","Amazon Fulfillment Services, Inc. - Consumables Private Brands"
602652177583,"BLUEBERRY VANILLA & CASHEW FRUIT & NUT BARS, BLUEBERRY VANILLA & CASHEW","KIND Inc."
602652181122,"CARAMEL MACCHIATO HEALTHY GRAINS GRANOLA BAR, CARAMEL MACCHIATO","KIND Inc."
788434102766,"CARAMEL MACCHIATO PROTEIN BARS, CARAMEL MACCHIATO","The Hershey Company"
602652296659,"CARAMEL NUTS & SEA SALT WITH PEANUTS THINS BARS, CARAMEL NUTS & SEA SALT WITH PEANUTS","KIND Inc."
030000562772,"CINNAMON FLAVOR GRANOLA BITES, CINNAMON","The Quaker Oats Company"
602652208003,"CRUNCHY PEANUT BUTTER PROTEIN BARS, CRUNCHY PEANUT BUTTER","KIND Inc."
602652171246,"FRUIT & NUT BARS, FRUIT & NUT","KIND Inc."
602652264016,"HONEY ALMOND BUTTER FILLED NUT BUTTER SNACK BARS, HONEY ALMOND BUTTER","KIND Inc."
602652199806,"HONEY ROASTED NUTS & SEA SALT NUTS & SPICES BAR, HONEY ROASTED NUTS & SEA SALT","KIND Inc."
030000570982,"HONEY SEA SALT ORGANIC PUMPKIN SEED BARS, HONEY SEA SALT","The Quaker Oats Company"
602652170782,"KOREAN CHILI SWEET & SPICY ALMOND BAR, KOREAN CHILI","KIND Inc."
602652181016,"MAPLE PUMPKIN SEEDS WITH SEA SALT HEALTHY GRAINS GRANOLA BAR, MAPLE PUMPKIN SEEDS WITH SEA SALT","KIND Inc."
602652270864,"OATS & HONEY SIMPLE CRUNCH GRANOLA BARS, OATS & HONEY","KIND Inc."
602652184055,"OATS & HONEY WITH TOASTED COCONUT HEALTHY GRAINS GRANOLA BARS, OATS & HONEY WITH TOASTED COCONUT","KIND Inc."
788434102636,"PEANUT BUTTER & JELLY FLAVORED PROTEIN BAR, PEANUT BUTTER & JELLY","The Hershey Company"
602652278921,"PEANUT BUTTER CHEWY MINIS BARS, PEANUT BUTTER","KIND Inc."
602652270871,"PEANUT BUTTER SIMPLE CRUNCH GRANOLA BARS, PEANUT BUTTER","KIND Inc."
030000572740,"PEANUT BUTTER TREATS WITH RICE CRISPS CEREAL BARS, PEANUT BUTTER","The Quaker Oats Company"
602652171598,"ROASTED JALAPENO SWEET & SPICY ALMOND BARS, ROASTED JALAPENO","KIND Inc."
602652181092,"SALTED CARAMEL POPPED HEALTHY GRAINS GRANOLA BAR, SALTED CARAMEL","KIND Inc."
602652171482,"SWEET CAYENNE BBQ SWEET & SPICY ALMOND BARS, SWEET CAYENNE BBQ","KIND Inc."
602652184314,"THAI SWEET CHILI SWEET & SPICY ALMOND BARS, THAI SWEET CHILI","KIND Inc."
602652209031,"TOASTED CARAMEL NUT PROTEIN BARS, TOASTED CARAMEL NUT","KIND Inc."
052000013177,"VANILLA ALMOND FLAVORED WHEY PROTEIN BARS, VANILLA ALMOND","The Quaker Oats Co./gatorade-Van Camp"
602652279232,"VANILLA ALMOND HEALTHY GRAINS GRANOLA CLUSTERS, VANILLA ALMOND","KIND Inc."
602652181047,"VANILLA BLUEBERRY HEALTHY GRAINS GRANOLA BAR, VANILLA BLUEBERRY","KIND Inc."
030000570548,"VANILLA CREAM FLAVOR SLOTH-TASTIC GRANOLA BARS, VANILLA CREAM","The Quaker Oats Company"
658010112093,"GARDEN OF LIFE, FRUITS OF LIFE, MATRIX BAR, SUMMER BERRY, SUMMER BERRY","Garden of Life, Inc."
181945000437,"GOMACRO, THRIVE, ANCIENT SEEDS SUPERFOOD NUT BAR, ALMOND, APRICOT, ALMOND, APRICOT","GO MACRO LLC"
851921006783,"SWEET & BUTTERY BAGELS, SWEFT & BUTTERY","Spring Sola LLC"
071921008598,"PEPPERONI ULTIMATE TOPPINGS PIZZA, PEPPERONI","Nestle USA Inc."
850011443774,"BLUEBERRY PROTEIN WAFFLES, BLUEBERRY","Banza LLC"
850011443767,"HOMESTYLE PROTEIN WAFFLES, HOMESTYLE","Banza LLC"
810003517524,"RASPBERRY DAIRY-FREE YOGURT, RASPBERRY","Once Upon a Farm, LLC"
070470137919,"LOW FAT YOGURT TUBES, BERRY, STRAWBERRY","Yoplait USA"
072830444149,"PLAIN & SIMPLE GREEK YOGURT, PLAIN & SIMPLE","Tillamook County Creamery Association"
052159704377,"STRAWBERRY ORGANIC KIDS LOWFAT YOGURT, STRAWBERRY","Stonyfield Farm Inc"
052159701048,"VANILLA ORGANIC WHOLE MILK YOGURT, VANILLA","Stonyfield Farm Inc"
070470403960,"LIGHT FAT FREE YOGURT, STRAWBERRY, HARVEST PEACH","Yoplait USA"
070470137971,"LIMITED EDITION LOW FAT YOGURT, BERRY, STRAWBERRY","Yoplait USA"
