Barcode,Product Name,Brand,Category
030000313664,"Quaker Chewy Chocolate Chip Granola Bar","Quaker","Snack Bars"
044700024553,"Lunchables Turkey & Cheddar with Crackers","Oscar Mayer","Kids Lunch"
051500245071,"Jif Creamy Peanut Butter","Jif","Peanut Butter"
602652102584,"KIND Healthy Grains Oats & Honey Clusters","KIND","Granola"
068826801803,"Bear Naked Granola Honey Almond","Bear Naked","Granola"
021908424896,"Cascadian Farm Organic Honey Oat Granola","Cascadian Farm","Granola"
857843003002,"Purely Elizabeth Original Superfood Granola","Purely Elizabeth","Granola"
039978004871,"Bob's Red Mill Classic Granola","Bob's Red Mill","Granola"
030000010099,"Quaker Old Fashioned Rolled Oats","Quaker","Hot Cereal"
039978003751,"Bob's Red Mill Organic Extra Thick Rolled Oats","Bob's Red Mill","Hot Cereal"
857843004795,"Purely Elizabeth Pumpkin Cinnamon Oatmeal Cup","Purely Elizabeth","Hot Cereal"
020814031071,"Cream of Wheat Original (2.5 min)","Cream of Wheat","Hot Cereal"
884623102453,"Bear Naked Peanut Butter Granola Bar","Bear Naked","Snack Bars"
857777004195,"RXBar Blueberry Protein Bar","RXBar","Snack Bars"
829262000012,"Bobo's Original Oat Bar","Bobo's Oat Bars","Snack Bars"
788434108089,"ONE Protein Bar Birthday Cake","ONE Brands","Snack Bars"
722252168504,"Clif Builder's Protein Bar Chocolate","Clif Bar","Snack Bars"
643843717065,"Premier Protein Chocolate Bar","Premier Protein","Snack Bars"
722252313218,"Clif Bar Crunchy Peanut Butter Energy Bar","Clif Bar","Snack Bars"
810815021035,"Honey Stinger Organic Waffle Original","Honey Stinger","Snack Bars"
853152120344,"PROBAR Base Chocolate Bliss Bar","PROBAR","Snack Bars"
038000359002,"Kellogg's Nutri-Grain Soft Baked Strawberry Bar","Nutri-Grain","Snack Bars"
047495210194,"Nature's Bakery Strawberry Fig Bar","Nature's Bakery","Snack Bars"
722252192042,"Clif Kid Zbar Organic Chocolate Chip","Clif Kid","Snack Bars"
732153125247,"EPIC Chicken Sriracha Bar","EPIC","Snack Bars"
856584004404,"Chomps Original Turkey Stick","Chomps","Snack Bars"
853016002267,"Country Archer Zero Sugar Beef Jerky Classic","Country Archer","Snack Bars"
036632001047,"Dannon Fruit on the Bottom Strawberry Lowfat Yogurt 5.3oz","Dannon","Yogurt"
070470003009,"Yoplait Original Strawberry Yogurt 6oz","Yoplait","Yogurt"
036632026002,"Activia Strawberry Lowfat Probiotic Yogurt 4oz","Activia","Yogurt"
795709010015,"Wallaby Organic Australian Style Strawberry Yogurt 6oz","Wallaby Organic","Yogurt"
036632039019,"Two Good Strawberry Greek Style Yogurt 5.3oz","Two Good","Yogurt"
856624004364,"Kite Hill Plain Unsweetened Almond Milk Yogurt 16oz","Kite Hill","Yogurt"
025293003965,"Silk Almondmilk Yogurt Alternative Strawberry 5.3oz","Silk","Yogurt"
036632036407,"Danimals Strawberry Smoothie Yogurt Drink 3.1oz","Danimals","Yogurt"
081829001681,"Little Chobani Probiotic Strawberry Banana Kids Yogurt Pouches 4ct/3.5oz","Chobani","Yogurt"
005215970117,"Stonyfield Organic YoBaby Vanilla Whole Milk Yogurt 6ct/4oz","Stonyfield","Yogurt"
699235001007,"Yakult Original Nonfat Probiotic Drink 5ct/2.7oz","Yakult","Yogurt"
036632029546,"Activia Probiotic Dailies Strawberry Lowfat Yogurt Drink 3.1oz","Activia","Yogurt"
698997809166,"Udi's Gluten Free Whole Grain Bread 12oz","Udi's","Bread"
055991040450,"Silver Hills Sprouted Power Squirrelly Bread 21oz","Silver Hills Bakery","Bread"
071018010183,"Teddie All Natural Smooth Peanut Butter 16oz","Teddie","Nut Butters"
044082032313,"Once Again Organic Creamy Peanut Butter 16oz (Lightly Salted)","Once Again","Nut Butters"
051651060325,"MaraNatha Creamy Almond Butter 16oz","MaraNatha","Nut Butters"
870001002576,"Artisana Organics Raw Cashew Butter 14oz","Artisana Organics","Nut Butters"
737539191205,"SunButter Natural Sunflower Butter 16oz","SunButter","Nut Butters"
042272013883,"Amy's Organic Black Bean & Cheese Burrito","Amy's Kitchen","Frozen Meals"
042272009244,"Amy's Thai Pad Thai","Amy's Kitchen","Frozen Meals"
857063002003,"Saffron Road Chicken Tikka Masala with Basmati Rice","Saffron Road","Frozen Meals"
025800022403,"Smart Ones Macaroni & Cheese","Smart Ones","Frozen Meals"
028989101082,"MorningStar Farms Chik'n Nuggets","MorningStar Farms","Frozen Meals"
080868000336,"Dr. Praeger's All American Drive-Thru Veggie Burgers","Dr. Praeger's","Frozen Meals"
747479300056,"Rao's Made For Home Chicken Parmesan with Spaghetti","Rao's Homemade","Frozen Meals"
042272005048,"Amy's Organic Black Bean Vegetable Soup","Amy's","Canned Goods"
076808280739,"Barilla Penne Rigate","Barilla","Pasta & Grains"
076808006278,"Barilla Collezione Penne","Barilla","Pasta & Grains"
857183005007,"Banza Chickpea Pasta Penne","Banza","Pasta & Grains"
815421011234,"Jovial Organic Brown Rice Pasta Fusilli","Jovial","Pasta & Grains"
072251000504,"Near East Couscous Mix Original Plain","Near East","Pasta & Grains"
017400118457,"Minute Instant Brown Rice","Minute Rice","Pasta & Grains"
073416197640,"Lundberg Organic Long Grain Brown Rice","Lundberg","Pasta & Grains"
073416197633,"Lundberg Organic Short Grain Brown Rice","Lundberg","Pasta & Grains"
854183006027,"Explore Cuisine Organic Edamame & Mung Bean Fettuccine","Explore Cuisine","Pasta & Grains"
029000073258,"Planters Dry Roasted Peanuts","Planters","Nuts & Trail Mix"
029000016705,"Planters Mixed Nuts","Planters","Nuts & Trail Mix"
041570052341,"Blue Diamond Bold Wasabi & Soy Sauce Almonds","Blue Diamond","Nuts & Trail Mix"
070690023825,"Fisher Chef's Naturals Whole Natural Almonds","Fisher","Nuts & Trail Mix"
819898013005,"Back to Nature Cashew Almond Pistachio Mix","Back to Nature","Nuts & Trail Mix"
031200294500,"Ocean Spray Craisins Original Dried Cranberries","Ocean Spray","Nuts & Trail Mix"
041143124604,"Sun-Maid California Sun-Dried Raisins","Sun-Maid","Nuts & Trail Mix"
010300336648,"Emerald Dry Roasted Almonds","Emerald","Nuts & Trail Mix"
814558020164,"Forager Project Organic Nut & Oat Milks Blend 32oz","Forager Project","Plant-Based Milk"
050000447718,"Coffee-Mate Original Powder Coffee Creamer 11oz","Coffee-Mate","Coffee Creamer"
050000207084,"Coffee-Mate French Vanilla Powder Coffee Creamer 15oz","Coffee-Mate","Coffee Creamer"
050000302628,"Coffee-Mate Original Liquid Coffee Creamer 32oz","Coffee-Mate","Coffee Creamer"
050000322756,"Coffee-Mate French Vanilla Liquid Coffee Creamer 32oz","Coffee-Mate","Coffee Creamer"
041271025682,"International Delight Hazelnut Coffee Creamer 32oz","International Delight","Coffee Creamer"
041271004724,"International Delight Sweet & Creamy Coffee Creamer 32oz","International Delight","Coffee Creamer"
813636022205,"Califia Farms Oat Milk Creamer Original 32oz","Califia Farms","Coffee Creamer"
025293600423,"Silk Dairy-Free Original Coffee Creamer 32oz","Silk","Coffee Creamer"
855694006018,"Laird Superfood Original Coconut Creamer Powder 8oz","Laird Superfood","Coffee Creamer"
050000758395,"Coffee-Mate Natural Bliss Oat Milk Vanilla Coffee Creamer 32oz","Coffee-Mate Natural Bliss","Coffee Creamer"
051000229076,"Swanson 100% Natural Chicken Broth 32oz","Swanson","Soups & Broths"
052603054454,"Pacific Foods Organic Low Sodium Chicken Broth 32oz","Pacific Foods","Soups & Broths"
084253240284,"Imagine Organic Free Range Chicken Broth 32oz","Imagine","Soups & Broths"
051000267603,"Campbell's Well Yes! Chicken Noodle Soup 16.3oz","Campbell's","Soups & Broths"
041196915075,"Progresso Vegetable Classics Garden Vegetable Soup 19oz","Progresso","Soups & Broths"
041789002113,"Maruchan Ramen Noodle Soup Chicken Flavor 3oz","Maruchan","Soups & Broths"
041000014642,"Lipton Cup-a-Soup Hearty Chicken Noodle 1.8oz","Lipton","Soups & Broths"
052603056076,"Pacific Foods Organic Bone Broth Chicken Unsalted 32oz","Pacific Foods","Soups & Broths"
051000198792,"Swanson Vegetable Broth 32oz","Swanson","Soups & Broths"
043000094228,"Maxwell House Original Roast Ground Coffee 30.6oz","Maxwell House","Coffee & Tea"
762111331205,"Starbucks Pike Place Roast Ground Coffee 28oz","Starbucks","Coffee & Tea"
851552005025,"Death Wish Coffee Organic 16oz","Death Wish Coffee","Coffee & Tea"
028000466312,"Nescafé Clásico Instant Coffee 7oz","Nescafé","Coffee & Tea"
762111853103,"Starbucks VIA Instant Italian Roast 8ct","Starbucks","Coffee & Tea"
794522004423,"Lipton Yellow Label Black Tea 100ct","Lipton","Coffee & Tea"
070734004025,"Celestial Seasonings Sleepytime Herbal Tea 20ct","Celestial Seasonings","Coffee & Tea"
070177025700,"Twinings English Breakfast Tea 100ct","Twinings","Coffee & Tea"
072310008472,"Bigelow Classic Green Tea 20ct","Bigelow","Coffee & Tea"
032601026097,"Earthbound Farm Organic Triple Berry Blend 10oz","Earthbound Farm","Frozen Vegetables & Fruit"
648505302559,"Lucini Italia Everyday Balsamic Vinegar of Modena 8.5oz","Lucini Italia","Cooking Oils & Vinegars"
044700360354,"Lunchables Nachos with Cheese Dip & Salsa","Lunchables","Kids Lunch"
